Usuario,Periodo,Comentario,ODSEW-ShBeI-QClCJf-QYOpke-title,ODSEW-ShBeI-QClCJf-QYOpke-VdSJob,ODSEW-ShBeI-text 2
Marcela Arias,a month ago,"Buen lugar, te toman antes la temperatura para ingresar a la ""Terraza"" ( que está en la calle ahora en fase dos) las pizzas tienen buen tamaño, son cuatro trozos bien grandes y por el precio está bien. Los tragos muy buenos pero falta …",Response from the owner,2 weeks ago,"Gracias Marcela por tu comentario tomaremos en cuenta todo lo comentado y gracias por tu valoración.

(Translated by Google)
Thank you Marcela for your comment, we will take into account all the comments and thank you for your evaluation."
Cristobal Herrera Huerta,a month ago,"Primera vez que lo visito y en general muy bien. La pizza, plato estrella, tiene una masa muy particular con la consistencia de un panqueque, ""latiguda"", pero suave y esponjosa. Probamos cuatro diferentes, los rellenos varían y quizás …",Response from the owner,2 weeks ago,"Gracias Cristobal por tu comentarios, te esperamos nuevamente de vuelta en Domani."
Carolina Osses,a month ago,"Delicioso las pizzas ,buena atencion ,y muy lindo lugar  .

(Translated by Google) …",Response from the owner,2 weeks ago,"Gracias Carolina por tu comentario, nos alegra que hayas disfrutado de nuestras preparaciones y servicio.
Saludos"
Yacsiely Delgado,a month ago,,Response from the owner,2 weeks ago,"Gracias Yacsiely por su calificación, los esperamos pronto de vuelta en Domani.
Saludos

(Translated by Google)
Thank you Yacsiely for your rating, we hope to see you soon back at Domani.
Greetings"
Valentina Roblero Arellano,a month ago,"Excelente pizza estilo napolitano! muy parecida a la original. Masa perfecta, muy buenos ingredientes. Recomiendo mucho Tartufo. …",Response from the owner,2 weeks ago,"Gracias Valentina por tu comentario, y esperamos nuevamente.
Saludos

(Translated by Google)
Thank you Valentina for your comment, and we hope again.
Greetings"
Antonio Retamal,a month ago,"Pizzas al sarten y chelas de barril

(Translated by Google)
Pan-fried pizzas and chelas on tap",Response from the owner,2 weeks ago,"Gracias Antonio por tu evaluación y comentario, los esperamos de nuevo."
Fiorella Moya,a month ago,"Exquisitas pizzas, tragos y ambiente

(Translated by Google)
Exquisite pizzas, drinks and atmosphere",Response from the owner,2 weeks ago,"Gracias Fieorella por tu comentarios te esperamos pronto de vuelta.
Saludos

(Translated by Google)
Thank you Fieorella for your comments. We hope to see you back soon.
Greetings"
María José Pineda Martínez,a month ago,"Las pizzas son exquisitas, perfecta textura y los ingredientes son de alta calidad. He ido al local y pedí también por delivery, la calidad es la misma. …",Response from the owner,2 weeks ago,"Gracias María José por tus comentarios  te esperamos nuevamente.
Saludos

(Translated by Google)
Thank you María José for your comments, we hope to see you again.
Greetings"
Patricio Fuentes (Pathoven),a month ago,"Lugar con las 3 B. Recomendable

(Translated by Google)
Place with 3 B. Recommended",Response from the owner,2 weeks ago,"Gracias Patricio por tu comentario, esperamos verte pronto de nuevo, en Domani.
Saludos

(Translated by Google)
Thank you Patricio for your comment, we hope to see you again soon, in Domani.
Greetings"
Pablo Sepúlveda Medina,a month ago,"Mas ricas que nunca, como siempre la mejor alternativa en pizzas napolitanas

(Translated by Google) …",Response from the owner,2 weeks ago,"Gracias Pablo, por tu comentario, te esperamos nuevamente en Domani.
Saludos

(Translated by Google)
Thank you Pablo, for your comment, we are waiting for you again at Domani.
Greetings"
katherine gonzales,2 months ago,,Response from the owner,2 weeks ago,"Gracias Katherine, por tu calificación, esperamos verlos pronto nuevamente.
Saludos"
Ignacio Mesa S.,2 months ago,Notable!,Response from the owner,2 weeks ago,"Gravisd Ignacio por su calificacion y comentario.
Saludos

(Translated by Google)
Gravisd Ignacio for his rating and comment.
Greetings"
mariela murguey perez,2 months ago,Super,Response from the owner,2 weeks ago,"Gravias Mariela por tu evaluacion y comentario, te esperamos pronto de vuelta.
Saludos

(Translated by Google)
Thank you Mariela for your evaluation and comment, we hope to see you back soon.
Greetings"
Carla Fernandes Ramos,2 months ago,"Excelente local y atendimento!
Una de las mejores pizzas que he probado. …",Response from the owner,2 months ago,"Muchas Gracias Carla por tu comentario, nos alegra que hayas disfrutado de tu experiencia en el local.

(Translated by Google)
Thank you very much Carla for your comment, we are glad that you enjoyed your experience at the place."
Leslie Gutierrez,2 months ago,"exquisitas las pizzas, poca variedad de tragos

(Translated by Google) …",Response from the owner,2 months ago,"Muchas gracias Leslie por tu evaluación y comentario, esperamos verte pronto de vuelta en Domani

(Translated by Google)
Thank you very much Leslie for your evaluation and comment, we hope to see you soon back at Domani"
David Castro,2 months ago,,Response from the owner,2 months ago,"Muchas gracias David por tu evaluación, esperamos verte muy pronto de vuelta en Domani

(Translated by Google)
Thank you very much David for your evaluation, we hope to see you very soon back at Domani"
Jordan Rodriguez Gallardo,2 months ago,"tuvimos la suerte de esperar poco para tomar mesa, estaba lleno, y con justa razón, exquisito todo, pizza putanezca y margarita, se las mandaron✌️ …",Response from the owner,2 months ago,"Muchas Gracias Jordan por tu excelente comentario, esperamos verte pronto de vuelta.

(Translated by Google)
Thank you very much Jordan for your excellent comment, we hope to see you again soon."
Edgar Jaimes Machado,2 months ago,,Response from the owner,2 months ago,"Gracias Edgar por su evaluación, esperamos verlo pronto de vuelta en Domani

(Translated by Google)
Thanks Edgar for your review, we hope to see you soon back at Domani"
VICTOR BRICEÑO,2 months ago,,Response from the owner,2 weeks ago,"Muchas gracias por su evaluacion, esperamos verlos pronto nuevamente.

(Translated by Google)
Thank you very much for your evaluation, we hope to see you again soon."
Eduardo Pereiro,2 months ago,,Response from the owner,2 months ago,"Gracias Eduardo por tu evaluación, esperamos tenerlos de vuelta pronto en Domani

(Translated by Google)
Thank you Eduardo for your evaluation, we hope to have you back soon at Domani"
La Titto,2 months ago,"Excelente servicio, rapidez, limpieza, atención grata,  pizzas realmente deliciosas nada que envidiarle a una pizza Italiana!! ⭐⭐⭐⭐⭐  100% recomendados!! …",Response from the owner,2 months ago,"Gracias por su calificación y comentario, siempre entregamos lo mejor para que se puedan llevar una experiencia inolvidable.

(Translated by Google)
Thank you for your rating and comment, we always deliver the best so that you can have an unforgettable experience."
Hector Daniel Olmos Duran,2 months ago,"LE BAJARON ENORMEMENTE LA CALIDAD A LAS PIZZAS, PARECE PAN ARABE CON SALSA Y ESCACEZ DE INGREDIENTES 😔 …",Response from the owner,2 months ago,"Gracias Héctor, por tu comentario, revisaremos las recetas y tomaremos en cuenta tu sugerencia.

(Translated by Google)
Thank you Hector, for your comment, we will review the recipes and take your suggestion into account."
Felipe Weffer,2 months ago,"Excelentes pizzas! fui hace un par de meses para probar su menú y tomar algo. Lo cierto es que después de 30 minutos, no tenía ganas de irme! muy buen ambiente, excelente atención al cliente y buena comida. …",Response from the owner,2 months ago,"Gracias Felipe por tus comentarios, seguiremos trabajando de la misma forma para lograr la mejor experiencia en Domani

(Translated by Google)
Thank you Felipe for your comments, we will continue working in the same way to achieve the best experience in Domani"
Rodrigo Catalán,2 months ago,"Como en Italia.

(Translated by Google)
Like in Italy.",Response from the owner,2 months ago,"Gracias Rodrigo, por tus comentarios, seguimos siempre la receta tradicional napoletana para entregar la mejor experiencia

(Translated by Google)
Thanks Rodrigo, for your comments, we always follow the traditional Napoletana recipe to deliver the best experience"
Emanuel Jose Hernandez Merecuana,2 months ago,,Response from the owner,2 months ago,"Gracias Emanuel por tu calificación seguiremos entregando lo mejor de nosotros

(Translated by Google)
Thank you Emanuel for your rating, we will continue to deliver the best of us"
Nicolás,3 months ago,,Response from the owner,2 months ago,"Gracias Nicolás por tu comentario, esperamos verte pronto nuevamente.

(Translated by Google)
Thank you Nicolás for your comment, we hope to see you again soon."
Amaria,3 months ago,,Response from the owner,2 months ago,"Gracias Amaría, por tu calificación, te esperamos pronto de vuelta en Domani

(Translated by Google)
Thank you Amaría, for your rating, we hope to see you soon back at Domani"
Vartan Ishanoglu,3 months ago,Muy buena atención. Especial atención en época de pandemia. Buenas pizzas y cerveza refrescante. …,Response from the owner,2 months ago,"Gracias Vartan por tus comentarios, seguiremos trabajando de la misma forma para entregar siempre el mejor servicio

(Translated by Google)
Thank you Vartan for your comments, we will continue working in the same way to always deliver the best service"
Gleinys Fernández,3 months ago,"Excelente, me encanta que la comida la sirven súper rápido.

(Translated by Google) …",Response from the owner,2 months ago,"Gracias Gleinys por tu comentarios, seguiremos haciendo lo mejor para una excelente experiencia a nuestros clientes.

(Translated by Google)
Thank you Gleinys for your comments, we will continue to do our best for an excellent experience for our customers."
Paola Vergara,3 months ago,"Riquisimas las pizza pero hay q tener paciencia porq se demoraron mas d 1 hora q la sirvan,  valor!! …",Response from the owner,2 months ago,"Gracias Paola por tu comentario. Revisaremos atentamente los tiempos de atención

(Translated by Google)
Thank you Paola for your comment. We will carefully review the attention times"
Ángela Oses Isamit,3 months ago,,Response from the owner,2 months ago,"Gracias Ángeles por tu calificación, te esperamos nuevamente

(Translated by Google)
Thank you Angels for your rating, we are waiting for you again"
Betsy jasmin quintui molina,3 months ago,"Es un lugar que me encanta pero ya la pizza de mechada a la barbacue ya no la tienen en sus menú 😑, buena atención y el lugar muy agradable ,recomendado …",Response from the owner,2 months ago,"Gracias Betsy por tu comentario, revisaremos tu silicitud. Saludos

(Translated by Google)
Thank you Betsy for your comment, we will review your request. Greetings"
hildebran rengel,3 months ago,"Excelente

(Translated by Google)
Excellent",Response from the owner,2 months ago,"Hildebran, muchas gracias por dejar tu comentario, este nos ayuda a seguir creciendo y entregando lo mejor

(Translated by Google)
Hildebran, thank you very much for leaving your comment, it helps us to continue growing and delivering the best"
Valeria Garrido,3 months ago,,Response from the owner,2 months ago,"Gracias Valeria por tu calificación, esperamos tenerte de vuelta en Domani pronto

(Translated by Google)
Thank you Valeria for your rating, we hope to have you back at Domani soon"
tibash,3 months ago,,Response from the owner,2 months ago,"Gracias estimado, por y calificación te esperamos pronto en el local

(Translated by Google)
Thank you dear, for and qualification, we are waiting for you soon at the local"
jimena Rodriguez,3 months ago,"Muy bueno 👌 recomendado 👍

(Translated by Google)
Very good 👌 recommended 👍",Response from the owner,2 months ago,"Gracias Jimena por tu comentario te esperamos nuevamente.

(Translated by Google)
Thank you Jimena for your comment, we are waiting for you again."
Carmen Gloria Concha Speer,4 months ago,,Response from the owner,2 months ago,"Gracias Carmen por tu calificación esta nos ayuda a mejorar día a día

(Translated by Google)
Thank you Carmen for your rating this helps us to improve day by day"
Thamiles Veronica Quiroz Cerda,4 months ago,,Response from the owner,2 months ago,"Gracias Thamiles, por tu calificación. Te esperamos nuevamente. Saludos

(Translated by Google)
Thank you Thamiles, for your rating. We wait for you again. Greetings"
Carlos Pacheco,4 months ago,Las pizzas son exquisitas y se parecen mucho a las pizzas napolitanas. Los precios son altos pero similar a otros lugares con la misma calidad de pizza. Recomendable si quieren probar una pizzas exquisitas. …,Response from the owner,2 months ago,"Gracias Carlos por tus comentarios, esto nos ayuda a seguir creciendo y entregar lo mejor.

(Translated by Google)
Thank you Carlos for your comments, this helps us continue to grow and deliver the best."
Anya,4 months ago,Good pizza,Response from the owner,2 months ago,"Gracias Anna por tu comentario, nos ayuda a seguir creciendo, esperamos verte nuevamente.

(Translated by Google)
Thank you Anna for your comment, it helps us to continue growing, we hope to see you again."
Luis Fernando Canelón,4 months ago,,Response from the owner,2 months ago,"Gracias, Luis por tu calificación, esperamos verte nuevamente.

(Translated by Google)
Thank you Luis for your rating, we hope to see you again."
Jose Novillo,4 months ago,"the service was ok, the food wasn't bad but it wasn't really a pizza napoletana it lacked chewiness and had punti bruciati, the dough was probably too cold when it got in the oven, the price was too high for the quality of the pizza, their selling point is that they have vero pizzaioli but they were lackluster",Response from the owner,2 months ago,"Gracias Jose, por tus comentarios,revisaremos tus comentarios para poder mejorar.

(Translated by Google)
Thanks Jose, for your comments, we will review your comments to improve."
Francisca Potin,4 months ago,,Response from the owner,2 months ago,"Gracias Francisca por tu calificación, esperamos verte nuevamente.

(Translated by Google)
Thank you Francisca for your rating, we hope to see you again."
Ana María Moreno Campos,4 months ago,"Segunda vez q voy
Pizzas ,souers,tequila Margarita,mojito
Espéctacularessssssss …",Response from the owner,2 months ago,"Gracias  Ana María, por tus comentarios, esperamos verte nuevamente.

(Translated by Google)
Thanks Ana María, for your comments, we hope to see you again."
Anahy Catalan,4 months ago,,Response from the owner,2 months ago,"Anahy gracias por tu calificación, esperamos tu visita pronto.

(Translated by Google)
Anahy thank you for your rating, we look forward to your visit soon."
anaeribet oviedo,4 months ago,,Response from the owner,2 months ago,"Anaeribet gracias por tu calificación, esperamos verte de vuelta pronto

(Translated by Google)
Anaeribet thank you for your rating, we hope to see you back soon"
Guillermo Valenzuela,4 months ago,"La pizza muy buena en la cerveza poca variedad no había Bock

(Translated by Google) …",Response from the owner,2 months ago,"Gracias Guillermo por tus comentarios, revisaremos lo de las cervezas, te esperamos

(Translated by Google)
Thank you Guillermo for your comments, we will review the beers, we are waiting for you"
Arturo Rojas,4 months ago,"Atención buena del personal, nada que decir al respecto.
La pizza margarita es muy buena, los ingredientes de primera calidad y la masa tambiénes buena. …",Response from the owner,2 months ago,"Gracias Arturo por tus comentarios, esperamos verte nuevamente.

(Translated by Google)
Thanks Arturo for your comments, we hope to see you again."
Luis De La Fuente,4 months ago,,Response from the owner,2 months ago,"Muchas gracias Luis por tu calificación,esperamos verte nuevamente

(Translated by Google)
Thank you very much Luis for your rating, we hope to see you again"
Jesús Daniel Contreras,4 months ago,Fui por segunda vez... Y de verdad que no ha desmejorado su calidad y servicio. Los cócteles y sus pizza son espectaculares. …,Response from the owner,4 months ago,"Gracias Jesús por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Jesus for your rating, we are waiting for you again."
Jaime Galvez,4 months ago,"Muy buen lugar, pizzas deliciosas, buenos precios, muy buena atención, agradable ambiente, medidas de protección, recomendable. …",Response from the owner,4 months ago,"Gracias Jaime por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Jaime for your rating, we are waiting for you again."
Rene Gutierrez,4 months ago,"Excelente

(Translated by Google)
Excellent",Response from the owner,4 months ago,"Gracias Rene por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Rene for your rating, we are waiting for you again."
Gabriel Ilabaca Parra,4 months ago,"De las mejores pizzas de Santiago.

(Translated by Google)
Of the best pizzas in Santiago.",Response from the owner,4 months ago,"Gracias Gabriel por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Gabriel for your rating, we wait for you again."
veronica andarcia,4 months ago,"Rica las pizzas, divino el ambiente.

(Translated by Google) …",Response from the owner,4 months ago,"Gracias Verónica por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Veronica for your rating, we are waiting for you again."
rafael molina,4 months ago,,Response from the owner,4 months ago,"Gracias Rafael por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Rafael for your rating, we are waiting for you again."
Ruben Marcelo Segovia,4 months ago,"Excelente servicio, las mejores pizzas

(Translated by Google)
Excellent service, the best pizzas",Response from the owner,4 months ago,"Gracias Rubén por tu calificacion te esperamos nuevamente.

(Translated by Google)
Thank you Rubén for your rating, we are waiting for you again."
Mati Reumay,4 months ago,,Response from the owner,4 months ago,"Gracias Mati, por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Mati, for your rating we hope to see you again"
Teresa Jara,4 months ago,,Response from the owner,4 months ago,"Gracias Teresa, por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Teresa, for your rating, we are waiting for you again."
JULIAN VERONICO VELASQUEZ CALDERA,4 months ago,"Brutal las mejores pizzas a leña de santiago

(Translated by Google) …",,,
Santiago Muñoz,4 months ago,"Amazing food, poor service",Response from the owner,4 months ago,"Gracias Santiago por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Santiago for your rating, we are waiting for you again."
Daniel Quinteros,4 months ago,"Excelente pizzería

(Translated by Google)
Excellent pizzeria",Response from the owner,4 months ago,"Gracias Daniel por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thanks Daniel for your rating, we wait for you again."
Pablo González Azócar,4 months ago,La pizza estaba muy rica pero las cervezas y el mojito que probé no los recomiendo. …,Response from the owner,4 months ago,"Gracias Pablo, por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Pablo, for your rating, we are waiting for you again."
Henry Mosqueira,4 months ago,"Excelentes pizzas y muy buena atención

(Translated by Google)
Excellent pizzas and very good service",Response from the owner,4 months ago,"Gracias Henry, por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Henry, for your rating, we look forward to seeing you again."
joaquin Concha,4 months ago,,Response from the owner,4 months ago,"Gracias Joaquín por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Joaquín for your rating, we are waiting for you again."
Hugo Munoz,4 months ago,,Response from the owner,4 months ago,"Gracias Hugo por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Hugo for your rating, we wait for you again."
Jessica Iturra,4 months ago,"Excelente servicio, la pizza muy rica y buena música en vivo.

(Translated by Google) …",Response from the owner,4 months ago,"Gracias Jessica, por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Jessica, for your rating, we hope to see you again."
Cristobal Rodriguez,4 months ago,,Response from the owner,4 months ago,"Gracias Cristóbal por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Cristóbal for your rating, we are waiting for you again."
Pablo Fredes,4 months ago,,Response from the owner,4 months ago,"Gracias Pablo por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Pablo for your rating, we are waiting for you again."
Jose Rivera,4 months ago,"Amplio.
Pizzas sabrosas
Buen servicio en general. …",Response from the owner,4 months ago,"Gracias José por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you José for your rating, we wait for you again."
Tito Carreño,4 months ago,,Response from the owner,4 months ago,"Gracias Tito por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Tito for your rating, we wait for you again."
Isidora Riquelme Quinteros,4 months ago,,Response from the owner,4 months ago,"Gracias Isidora por tu calificacion te esperamos nuevamente.

(Translated by Google)
Thank you Isidora for your rating, we are waiting for you again."
Luis Naranjo,4 months ago,,Response from the owner,4 months ago,"Muchas gracias por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you very much for your rating, we are waiting for you again."
Camilo Galindo Henriquez,4 months ago,,Response from the owner,4 months ago,"Gracias Camilo por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Camilo for your rating, we are waiting for you again"
Diego Serrá,4 months ago,,Response from the owner,4 months ago,"Gracias Diego por tu calificacion te esperamos nuevamente.

(Translated by Google)
Thanks Diego for your rating, we are waiting for you again."
Franzelis Olivares,4 months ago,,Response from the owner,4 months ago,"Gracias Franzelis por su calificación te esperamos nuevamente.

(Translated by Google)
Thanks Franzelis for your rating, we are waiting for you again."
Catalina Piazza,4 months ago,"Las mejores pizzas. Recomiendo 4 quesos y la de recúla y jamón crudo. Eso si, 1 pizza no alcanza para 2 personas. …",Response from the owner,4 months ago,"Gracias Catalina por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Catalina for your rating, we are waiting for you again."
Marcelo Macias Caceres,4 months ago,,Response from the owner,4 months ago,"Gracias Marcelo por tu calificacion te esperamos nuevamente.

(Translated by Google)
Thank you Marcelo for your rating, we are waiting for you again."
Kenny Duchens,4 months ago,,,,
Maykol Purica,4 months ago,"Muy buena la pizza margarita.

(Translated by Google)
Very good margarita pizza.",Response from the owner,4 months ago,"Gracias Maykol por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Maykol for your rating, we are waiting for you again."
Angelica Arancibia,4 months ago,"Muy rico todo ah y no aceptan efectivo solo tarjetas débito y crédito

(Translated by Google) …",Response from the owner,4 months ago,"Gracias Angélica por tu comentario, te esperamos nuevamente.

(Translated by Google)
Thank you Angelica for your comment, we are waiting for you again."
Duby Patricia García Casanova,4 months ago,"las pizzas no son tan ricas...

(Translated by Google)
the pizzas are not that tasty ...",Response from the owner,4 months ago,"Gracias Duby por tu comentario, te esperamos nuevamente.

(Translated by Google)
Thanks Duby for your comment, we wait for you again."
Gricelda G.,4 months ago,"El lugar normal, la pizza muy pobre pa mi gusto, no se si volveré

(Translated by Google) …",Response from the owner,4 months ago,"Gracias Gricelda por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Gricelda for your rating, we are waiting for you again."
Argenis Recine,4 months ago,,Response from the owner,4 months ago,"Gracias Argenis por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Argenis for your rating, we are waiting for you again."
Kleiver Ramírez,4 months ago,,Response from the owner,4 months ago,"Gracias Kleiver por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Kleiver for your rating, we hope to see you again."
German C,4 months ago,,Response from the owner,4 months ago,"Gracias Germán por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Germán for your rating, we wait for you again."
Estefani Cortez,4 months ago,,Response from the owner,4 months ago,"Gracias Estefani por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Estefani for your rating, we are waiting for you again."
Jose Luis Soto Olivera,4 months ago,"Autenticas pizzas italianas, con horno traído de Nápoles.
Probar la pizza margarita es lo mínimo para tener una opinión. …",Response from the owner,4 months ago,"Gracias José Luis por tu comentario, te esperamos nuevamente.

(Translated by Google)
Thank you José Luis for your comment, we are waiting for you again."
Nicolás Sanhueza Moraga,4 months ago,,Response from the owner,4 months ago,"Gracias Nicolás por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Nicolás for your rating, we wait for you again."
Gleyvir Briceño,4 months ago,,Response from the owner,4 months ago,"Gracias Gleyvir, por su calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Gleyvir, for your rating, we wait for you again."
gabriela carrillo garrido,4 months ago,,Response from the owner,4 months ago,"Gracias Gabriela por su calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Gabriela for your rating, we are waiting for you again."
salvador morales,4 months ago,,Response from the owner,4 months ago,"Gracias Salvador por tu calificación te esperamos nuevamente.

(Translated by Google)
Thank you Salvador for your rating, we wait for you again."
Octavio Matias Becera Ferrada,4 months ago,,Response from the owner,4 months ago,"Gracias Octavio por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thanks Octavio for your rating, we are waiting for you again."
Eduardo Andrés Malo Soto,4 months ago,"Exceltente atención, las mejores pizzas!

(Translated by Google)
Excellent attention, the best pizzas!",Response from the owner,4 months ago,"Gracias Eduardo por su comentario, te esperamos nuevamente.

(Translated by Google)
Thank you Eduardo for your comment, we are waiting for you again."
Sebastián Orellana,4 months ago,,Response from the owner,4 months ago,"Gracias Sebastián por tu calificación, te esperamos nuevamente.

(Translated by Google)
Thank you Sebastian for your rating, we are waiting for you again."
Mariangel Rivera,4 months ago,,Response from the owner,4 months ago,"Gracias Mariangel por tu calificacion, te esperamos nuevamente.

(Translated by Google)
Thank you Mariangel for your rating, we are waiting for you again."
Isidora Fernandez,5 months ago,"Buen ambiente y buenas pizzas.

(Translated by Google)
Good atmosphere and good pizzas.",Response from the owner,4 months ago,"Gracias Isidora por tu comentario, te esperamos nuevamente

(Translated by Google)
Thank you Isidora for your comment, we are waiting for you again"
