Usuario,Periodo,Comentario
Vanessa Gonzalez,4 months ago,"Pizzas llegaron frías y los tragos caros

(Translated by Google) …"
Claudia Aguirre,4 months ago,"Buen servicio en general, precios bien para el. Sector donde se ubica

(Translated by Google) …"
Santiago A.,4 months ago,
Cristian Muñoz,4 months ago,"Es bueno 👌 estacionamiento muy complicado

(Translated by Google)
It's good 👌 very complicated parking"
María Elena Rojas,4 months ago,"Tiene una terraza super agradable, y buena atención.
Las pizzas que pedimos (4 carnes, 4 quesos y Pil pil) estaban deliciosas y contundentes. …"
Guillermo Rosas,4 months ago,
Eleonora Santeliz,4 months ago,"La comida y los tragos ambos ricos. Me gustó la atención y el ambiente. En general, un sitio para volver! …"
Rodrigo Del Rio Jahn,4 months ago,"Lugar agradable y bien atendido. Y las pizzas, sublimes, ricas,ricas.

(Translated by Google) …"
Ivan Whipple,4 months ago,"Ambiente cómodo, relajado. De todo lo que hemos probado, lo mejor es... todo. Muy recomendable! …"
Angel A. Castillo S.,4 months ago,"Bonito lugar y buena comida , acompañado de buena música

(Translated by Google) …"
Synthia Monje,4 months ago,
Cristian Isa,4 months ago,
Daniela Susana Vazquez,4 months ago,
Gustavo Cantizano,4 months ago,"Una amplia oferta de pizzas. Todas ricas. Excelente lugar para fase 2, cómodo, bien atendido y seguro. Buenos postres también. …"
Jaime Gamboa,4 months ago,
german ruz,4 months ago,"Excelente atencion

(Translated by Google)
Excellent attention"
Ignacio Justiniano Vial,4 months ago,
Patricio Pulgar,4 months ago,"Muy buen servicio

(Translated by Google)
Very good service"
Cristofer araya olivares,4 months ago,
Tomás Hinzpeter,4 months ago,"Excelente comida y ambiente, muy buena atención. 👌.  Un verdadero placer en sus platos, pizzas y tragos y no olvidar la gran variedad de cervezas. …"
Franco Simonetti,4 months ago,
Leslie Herrera,4 months ago,"Contexto: covid año 2021.
Limpieza: local se ve limpio y cumplen con distancias entre mesas, poseen dos áreas una terraza interior para no fumadores y otra exterior. …"
Katherine Marian Mendoza Soto,4 months ago,"Excelente

(Translated by Google)
Excellent"
Nicolás Meza Standen,5 months ago,
Enrique Henriquez Jara,5 months ago,
Olaf Acevedo,5 months ago,"Especialidad en pizza. Estilo en horno de leña (no es del todo a la leña), delgadas, crujientes, excelentes ingredientes. Muy buena salsa de tomate (que le hace honor al nombre) …"
Coke Verdejo,5 months ago,"Pizza rica, delgada y grande. Algo caro, no para el alcance de todos.

(Translated by Google) …"
Richard Torbello,5 months ago,"Buena comida. Opciones vegetarianas y buen servicio.

(Translated by Google) …"
Gonzalo Grez L.,5 months ago,"Buena comida, de atención rápida y eficiente. Lugar cómodo y popular.

(Translated by Google) …"
Camila Eterovic,5 months ago,
Ingrid Marcela Aubele Lizana,5 months ago,
Claudio Gomez,5 months ago,
Sol Ramirez,5 months ago,
Kristin Belisario,5 months ago,"Las pizzas muy ricas y el volcan de chocolate imperdible!!!

(Translated by Google) …"
Fabio Salinas,5 months ago,
Enrique Mendoza,5 months ago,"Ricas pizzas. Ricos postres. Rico ambiente

(Translated by Google) …"
Francisco Fuenzalida,5 months ago,
Sebastian Leiva catalán,5 months ago,
Gonzalo waeger,5 months ago,
Franklin Angulo,5 months ago,
sandra duque,5 months ago,"La atención es muy rápida.. la comida buena.

(Translated by Google) …"
Karen Verastegui,5 months ago,"Excelente! Un ambiente agradable, rica comida  y lo mejor; respetando todo el protocolo sanitario. …"
Marlon Singer,5 months ago,A Good place!💪💪
MARIA JOSE TORO MARQUEZ,5 months ago,"Excelente lugar, servicio, calidad. Todo muy bueno y rico, con opciones veganas también 😊 …"
Perfumes Rebajados,5 months ago,"Me encantan sus pizzas, sangría y postres.Buen ambiente y buena ubicación

(Translated by Google) …"
Gustavo Cuadra De Miguel,5 months ago,
EMILY Zamora,5 months ago,"Muy lindo

(Translated by Google)
So cute"
Camila Lugo,5 months ago,
Cristián Alvarado,6 months ago,
Juan Zuleta,6 months ago,"Nada del otro mundo, solo es fama, pizza común y corriente. CARO.

(Translated by Google) …"
Andres Avagliano,6 months ago,
Luis Felipe Argotte Moreno,6 months ago,"Buen lugar abierto, para pasar un rato agradable con amigos

(Translated by Google) …"
Pedro Vergara,6 months ago,
Wilmer Forghieri,6 months ago,"Buen lugar. Ls pizza de 4 quesos es un hit

(Translated by Google)
Good place. The 4 cheese pizza is a hit"
Paola Romero,6 months ago,"Muy buen ambiente, mesas bastante separadas entre sí respetando distancia. La pizza me parece algo sobrevalorada, si bien es buena y a la piedra  hay mejores. …"
Eduardo Jeldes Martinez,6 months ago,"La mejor variedad de pizzas,....!!!

(Translated by Google)
The best variety of pizzas, .... !!!"
Sonia Diaz,6 months ago,"Me encanta todo, desde al ambiente, la atención, la comida, todo

(Translated by Google) …"
Andrea Fuentes Nú,6 months ago,
Mauricio Lavin,6 months ago,
Francesco Bacchiega,6 months ago,
Manuel Gomez,6 months ago,
Claudio !!!,6 months ago,
Karen Espinola,6 months ago,
Gato Zabala,6 months ago,"Rapidez y calidad

(Translated by Google)
Speed ​​and quality"
Carlos Kanterovitz Donoso,6 months ago,"Muy buena comida y ambiente.

(Translated by Google)
Very good food and atmosphere."
Humberto Arias,6 months ago,
Sebastian Manzano,6 months ago,"Un lugar muy agradable preparado para el covid y bien atendidos

(Translated by Google) …"
Cristobal Solar,6 months ago,
Pablo Romero,6 months ago,
Rodrigo Sonntag,6 months ago,"Excelente lugar para compartir un trago y comer una pizza 🍕  a la piedra.
Recomiendo reservar mesa para evitar larga espera. …"
Gabriel,6 months ago,
Guillermo Cristi,6 months ago,
maria jose tala herrera,6 months ago,"Me parece estupendo muy buena atención y buenos precios Recomendado 💗

(Translated by Google) …"
Sebastian Glade,6 months ago,"buena comida, buena sangría, buena atención, rico lugar
100% recomendado …"
Carolina Carmona Ulloa,6 months ago,
Yulissa Paredes,6 months ago,"Buen lugar, rica comida y atención rápida!

(Translated by Google) …"
Tomas,6 months ago,Ricas pizzas y postre. Quizás el trago que me pedí no muy bueno (Moscow mule) . Aunque pedí que lo arreglaran y quedo decente. Volvería de nuevo por la comida. Rápida y buena atención. …
Ignacio Zúñiga,6 months ago,
Antonia Johnson,6 months ago,
Ana Gallegos,6 months ago,
Katherine Fuenzalida Acosta,7 months ago,
David J Lee,7 months ago,"Siempre bien atendido y la comida igual de consistente.  Muy recomendable!

(Translated by Google) …"
Juan Pablo Caruso,7 months ago,"Muy buen lugar, rica comida, buenos tragos, excelente sangría y cerveza. Recomiendo la pizza Palta y una de lomo saltado por lejos la mejor! …"
Jose Galarraga,7 months ago,
Hugo Plaza,7 months ago,"Buenas pizzas y tragos, muy rápida atención.

(Translated by Google) …"
Ricardo Ovalle Rios,7 months ago,"Excelentes pizzas pero la espera es eterna

(Translated by Google)
Excellent pizzas but the wait is eternal"
Alexei Tartakowsky,7 months ago,"El mejor ambiente y las pizza más originales

(Translated by Google) …"
Felipe Daroch,7 months ago,"Bueno rapido buena atencion muy rico

(Translated by Google)
Good fast good attention very rich"
Pedro Pablo Valdés Podestá,7 months ago,
JHAN KENJHY RAMIREZ GUEVARA,7 months ago,"Demasiado lento para atender)

(Translated by Google)
Too slow to attend)"
Martín Antúnez,7 months ago,"No falla, calidad buena y consistente, buen ambiente. Siempre lleno, así es que hay que llegar temprano. …"
Manuela González,7 months ago,
Alexis Diaz,7 months ago,
Angeles PyL,7 months ago,
Eduardo Valdes,7 months ago,
Angela Díaz Manosalva,7 months ago,"Buen lugar, ricas pizzas , sangría ideal para estas fechas... Atención rápida y cordial. Lo recomiendo..precios convenientes …"
Sebastian Rodriguez,7 months ago,
CONSTANZA BELÉN SOSA ZUÑIGA,7 months ago,
Alejandro López,7 months ago,"Un poco sobrevalorado, los precios sólo responden a la ubicación y presentación del plato, no al sabor ni a la porción. …"
Claudio Ignacio,7 months ago,
Martina Martínez Ulloa,7 months ago,
angel david poblete,7 months ago,
Marta Escobar Lorca,7 months ago,
Alejandro Cobos,7 months ago,
Camila paz vilches perez,7 months ago,
Carlos Hetzel,7 months ago,"Muy buen lugar, obvio que las pizzas son las protagonistas, pero las ensaladas son muy buenas! …"
Dominique Allamand,7 months ago,
Diego Pozo,7 months ago,"Tienen opción vegana para el queso pero se debe consultar antes si les queda.

(Translated by Google) …"
Pablo Rosario,7 months ago,
Mariangel Hernández,7 months ago,"Buen lugar para compartir con amigos, buena atención y calidad en comidas y tragos, siguen los protocolos de cuidado y eso es valioso. Lo recomiendo. …"
GUSTAVO SOTOMAYOR,7 months ago,
ClaUdia Gap,7 months ago,"No me gustó la sangria; la encontré desabrida y un poco ""aguada"" esperaba mas

(Translated by Google) …"
Max Emden,7 months ago,"Muy buena atención, misma carta a pesar del Covid!

(Translated by Google) …"
Andrea Paola Perez,7 months ago,
Juan Hernandez,7 months ago,"Buen lugar para compartir, terraza fumadores y precios nivel vitacura.
Atencion agil y diligente. …"
Claudimar Pulido,7 months ago,
Maria Jesus Sanchez,7 months ago,
Ignacio Muñoz,7 months ago,"Sin lugar a dudas uno de los lugares de Moda en esta reapertura post Covid, al igual que todo el Paseo El Mañio. No se puede reservar, así que paciencia en la espera. Pizzas es la especialidad y tragos que puedes combinar con opciones de …"
Jessica Saavedra,7 months ago,"Excelente lugar... Muy rico todo

(Translated by Google)
Excellent place ... very rich everything"
MariHe T.,7 months ago,
Gabriela Sorrentino Unda,7 months ago,
Felipe Gutierrez,7 months ago,
Alexmary Reyes Arrieta,7 months ago,"Muy lindo lugar, pero las pizzas son muy muy delgadas!

(Translated by Google) …"
Macarena Pérez Jara,7 months ago,"Rica comida, pero los protocolos de entrada eran poco claros, en la entrada son bruscos y poco explicativos. La atención fue buena pero lenta una vez adentro …"
Sorylu Oldenburg,7 months ago,
Daniel Henriquez,7 months ago,
Nataly Marquez,8 months ago,
Manu Ruiz-Tagle,8 months ago,
Claudio Manzoliz,8 months ago,"Muy bueno para disfrutar con los amigos al aire libre

(Translated by Google)
Very good to enjoy with friends outdoors"
paula freitas,8 months ago,"Ensalada Tío tómate

(Translated by Google)
Uncle salad take yourself"
Loreto Eyheramendy,8 months ago,
andres guesarazo,8 months ago,
Catalina Cordovez,8 months ago,
Angel Carrillo,8 months ago,Execelente pizzas
Johann Sebastian Parra,8 months ago,
Sebastian Honorato Errazuriz,8 months ago,
Seba Berroeta,8 months ago,
Isabel Valenzuela,8 months ago,
Pablo Osorio,8 months ago,"Muy ricas las pizzas y bien la atención. Con bastantes medidas por el covid

(Translated by Google) …"
Sebastian Guzman Sanchez,8 months ago,
Benjamin Perez,8 months ago,
Victor Parra,8 months ago,
Marina,8 months ago,"Todo ricooooo

(Translated by Google)
all ricooooo"
Daniela Castro,8 months ago,
Juan Pablo Toledo Torres,8 months ago,
Robert Parra Dulovits,8 months ago,"Mal..... mucha espera... se entiende pero nada que hacer. Saludos

(Translated by Google) …"
Eduardo Fabián Salazar Chamaca,8 months ago,
Nicolás Godoy,8 months ago,Pesimo  servico de delivery interno del restaurant . Llame para resolver un problema y no me dieron ninguna respuesta . Pesima atencion al cliente. …
Rodrigo Campos,8 months ago,
carla o'nell,8 months ago,
raimundo lalanne,8 months ago,
Manuela Riquelme Fenner,9 months ago,"Antes era bueno ahora es cualquier cosa

(Translated by Google)
Before it was good, now it is anything"
Sebastian Terrsy,9 months ago,It is ok. Very busy but the menu is limited. The pisco sour is a mess. You can't fail on that.
Carlos PdeA,9 months ago,"excelente atención, muy buenos productos y excelente ambiente para ir con amigos o para hacer nuevos …"
Gabriel Alvarez,9 months ago,"Excelentes micheladas, buenísimo el ceviche de salmón, recomendable para compartir en grupos. …"
erick Benhour,9 months ago,
nicoletta cruzat,9 months ago,"Maravillosamente maravilloso 😍

(Translated by Google)
Wonderfully wonderful 😍"
Iraima Pérez,9 months ago,
El Empírico de la Cocina Peruana,9 months ago,Su pizza son deliciosas y muy cómodas económicamente y ni que hablar de sus tragos 👍 …
Benjamin Reichhardt,9 months ago,
Cristina Villarroel Poblete,9 months ago,"Excelente servicio y rica comida

(Translated by Google)
Excellent service and rich food"
Alex Gurovich,9 months ago,
Weslly Steven Leyton Pardo,9 months ago,"Excelente atención, el precio de las pizzas muy adecuado al tamaño de la pizza, los protocolos covid cumpliéndose a cabalidad, el lugar es recomendado para ir en familia o con amigos …"
Sasha miño,9 months ago,
natalia inzunza,9 months ago,
Maria Jesus Barriga,9 months ago,"La comida muy rica, nada que decir sobre eso pero se demoraron más de media hora en llegar, siendo además un platos fríos. Lo más rescatable, que los chicos que atendían asumieron el error y fueron muy preocupados y amables. Así que …"
Julio Bello,9 months ago,
Pablo Tala,9 months ago,"La verdad que las pizzas en relación a la calidad del Local de avenida Italia son muy distintas.
La verdad parecía una pizza casera que pude haber cocinado yo mismo en vez de …"
Nicole Paradis,9 months ago,
Luis Duran,9 months ago,"Bueno el ambiente para compartir, comer y tomar alguna bebida o trago.

(Translated by Google) …"
Hildemar Perez,9 months ago,
laura del valle navarro vasquez,9 months ago,"lindo espacio actualmente con la situación pandemica hay que llegar temprano para ser atendido adecuadamente ya que asisten muchas personas, rica comida. ambiente y clima muy agradable …"
Luis Frontado,10 months ago,
Raul Aguayo,10 months ago,
Claudio Escanilla,10 months ago,
carlos felipe silva lazcano,10 months ago,"Exelente gracias

(Translated by Google)
Excellent, thanks"
Ignacio Garate,10 months ago,"Un excelente lugar para compartir en familia o con amistades.

(Translated by Google) …"
Alejandro Benitez,10 months ago,
henry zambrano,10 months ago,
Valee Hoyos,10 months ago,"Amo este lugar,tienen unas pizzas demasiado exquisitas..

(Translated by Google) …"
Felipe Cifuentes,10 months ago,
Cristian Baez,10 months ago,"Muy rico y recetas muy originales

(Translated by Google)
Very rich and very original recipes"
Patricio Gallardo,11 months ago,
Francisco Penadés,11 months ago,"Pedí 2 pizzas (tio tomate y rioplatense) a domicilio, y para mi sorpresa me encuentro con que ninguna venia con salsa de tomate (apenas una línea en el borde) y todos los demás ingredientes en la punta de la caja. …"
Cristoffer Utrera,a year ago,
Alfredo Norambuena,a year ago,"Primero que todo ""Tío Tomate"" es una de mis pizzerias favoritas. Ayer me enteré que estaban haciendo delivery mediante las app que existen en el mercado, así que sin pensarlo mucho pedí una Mechada Palta y otra Del Peral (Mis favoritas de …"
yanexis bolivar,a year ago,
Renato Mundaca,a year ago,"Excelente lugar, rica comida y gran variedad de pizzas que puedes disfrutar. Todas muy recomendadas …"
Josefina Beltran,a year ago,"Una carta directa y fácil de leer con todo a la vista, la preparación y sabor de los platos es impecable, excelente sabor. …"
Joaquin Lyon,a year ago,
Francesca Gorrini,a year ago,
JORGE Atreides,a year ago,"Lo mejor para la familia

(Translated by Google)
The best for the family"
Héctor Ricardo Andrade,a year ago,
Rosangeles Ortiz,a year ago,
Andres Montoni,a year ago,
Wildert Hurtado,a year ago,Excellent Pizzas
Marisol Cariola,a year ago,"Muy buena pizza, masa a Lapiedra y gran variedad.

(Translated by Google) …"
Maria Virginia Rodriguez,a year ago,
ValGreen,a year ago,"Muy rico y la michelada con jugo de tomate, maravillosa.

(Translated by Google) …"
Hugo Roggio,a year ago,
Juan Pablo Bermudez Manjarres,a year ago,Nice place
Roberto Contreras,a year ago,"Rica comida

(Translated by Google)
Nice Food"
Jean Carlos Garcia,a year ago,"No hay variedad... solo pizzas y ensaladas.

(Translated by Google) …"
V Salazar,a year ago,
Felipe Becerra,a year ago,
Mauricio Rojas,a year ago,"Excelente todo

(Translated by Google)
Excellent everything"
Fabiana Yerena,a year ago,
Fransis Capitillo Mejias,a year ago,"Me encanta la atencion en ese tio tomate en particular, las ensaladas q ofrecen y sus pizzas al horno porsupuesto! …"
Jean Paul Charnay,a year ago,
Natalia Sofía Del Canto Sawada,a year ago,
Keryn yores fuenmayor,a year ago,"La cajera es pésima atendiendo una estrella todavía es mucho

(Translated by Google) …"
Max Baeza,a year ago,
Julian Lopez,a year ago,"Cualquier pizza que elijas es extremadamente deliciosa!!

(Translated by Google) …"
Felipe Simonsohn,a year ago,
Maxi Garcia,a year ago,
Alexandre Tucci,a year ago,"(Translated by Google) Pizza with cold filling, bad, several good comments about the pizza, but far from the Brazilian pizza, not to mention the service !!! Beverage ... …"
CLAUDIA MADRID PALMA,a year ago,"Que pizzas más ricas 😏

(Translated by Google)
What richest pizzas 😏"
Samuel Rios,a year ago,
Raul Schmidt,a year ago,"buenas pizzas, buen ambiente, vale la pena

(Translated by Google)
good pizzas, good atmosphere, worth it"
Paul Hume,a year ago,Destaca por el lugar (terraza muy ondera) por lo bien atendido y  por los ricos tragos y cerveza (schopp)  bien helada. Creo que en contra es la carta muy acotada. No sale de las pizzas y un par de aperitivos. Las pizzas bien pero no …
camila sagredo,a year ago,"Buenas pizzas, buenos tragos, buen ambiente

(Translated by Google)
Good pizzas, good drinks, good atmosphere"
Fco Pedrosa,a year ago,
Jose Francisco Cervantes Bravo,a year ago,
Bernardita Peralta,a year ago,
Julian Orue,a year ago,"Entretenido lugar. Rica la pizza con palta y la sangría muy recomendable

(Translated by Google) …"
Susana Alvarado,a year ago,"Demasiado entretenido,  precios muy buenos, lindo hay que ir.

(Translated by Google) …"
Carlos Martinez,a year ago,"Excelente local y muy buenas pizzas

(Translated by Google)
Excellent place and very good pizzas"
Gabriel Scursel,a year ago,"(Translated by Google) Great service

(Original)
Ótimo atendimento"
Matias Pappalardo,a year ago,
Camilo Duboy,a year ago,"Muy rico todo, servicio muy rápido y atentos los camareros

(Translated by Google) …"
Carlos Castillo (ChaTo),a year ago,Vegan cheese available for the pizzas!
gabriel dalmazzo,a year ago,"Buenas pizzas y cervezas, se debe llegar temprano o esperar mesa

(Translated by Google) …"
E DF,a year ago,
Julián Avendaño Rojas,a year ago,
Pablo imilan,a year ago,
Constanza Jimenez,a year ago,
zyadd manzur,a year ago,
Carmen Bonomi Clavel,a year ago,
Rhandall Gutierrez H.,a year ago,
patricio sanchez,a year ago,"Muy bueno

(Translated by Google)
Very good"
Diego Venegas Aitken,a year ago,
Marta Andara,a year ago,
Rodolfo Ortega,a year ago,
Perla Flores,a year ago,
Claudia Mammana,a year ago,
Konrad Fernandez,a year ago,
Claudia Larrabe,a year ago,"Buen ambiente

(Translated by Google)
Good atmosphere"
Ruben Diaz,a year ago,
Ignacio Robledo,a year ago,
Magaly Muñoz,a year ago,"La comida exquisita,  100x 100 recomendado 😉

(Translated by Google)
Exquisite food, 100x 100 recommended 😉"
Rodrigo Lopez,a year ago,
cristina alejandra de gracia castillo,a year ago,"Muy rico

(Translated by Google)
Very rich"
