Usuario,Periodo,Comentario
CARLA DEFRANCHI,3 months ago,"Me encantan las pizzas acá...son lo mejor, buen ambiente, grato, lugar espacioso... …"
José Pablo Carrascosa,3 months ago,
eduardo concha hernandez,3 months ago,"Las pizzas y la sangría 100 % recomendada...

(Translated by Google) …"
Maggie Alvarez Dublas,3 months ago,"Me encantó el lugar, al tener mesas afuera es agradable, muy fresquito después de las 6pm y con música de artistas callejeros ;) …"
Bárbara Canepa,3 months ago,"Delicioso, lindo y excelente ambiente!!

(Translated by Google) …"
Alejandra Angulo,3 months ago,
Mariangel Peña,3 months ago,
Paola Neira,3 months ago,
carolina bustos,3 months ago,
Olga Poblete Díaz,3 months ago,
Elizabeth Salvatierra,3 months ago,
Oriana Sanchez,3 months ago,
Santiago Hernandez,3 months ago,Rapido eficiente no mucha demora en el pedido matiene lugar con distanciamiento muy amplio local en av italia …
Carlos Arce,3 months ago,"Excelente pizza, pero poca variedad de cervezas

(Translated by Google) …"
Silvia Soto,3 months ago,"Excelente  atención  y las pizzas muy ricas  y  creativas.
Buen precio, lo recomiendo 100% …"
Ciudad Panay,3 months ago,"Muy weeeno todo

(Translated by Google)
Very weeeno everything"
Andrea Amate,3 months ago,
Belisario Perez,3 months ago,
Alvaro Diaz F.,3 months ago,"Gran celebración de cumpleaños,  gracias a mi amor, a mis hijos, y a Sofía y Diego. …"
Claudio Vilches,3 months ago,"Todo bien, muy buenas ensaladas, lo malo son las recepcionistas, muy desagradables …"
Matías González,3 months ago,"pizza pre-hecha con salsa solo en los bordes para que se viera que tenía, pero en realidad bajo el queso (precalentado) se veía una masa color rosa con el mínimo posible de salsa. …"
Karina Moreno Guzmán,3 months ago,"Muy buen servicio y la comida muy buena, atencion rápido y tienen todos los protocolos para estar seguros.
Super recomendado!! …"
CLAUDIO SEPULVEDA,3 months ago,"Excelente atención, bonito lugar y muy rico todo

(Translated by Google) …"
Paulina Marshall,3 months ago,
Lorena Trigo Salinas,3 months ago,Tenia mas expectativas....encontre muy pobres las pizzas...comparando con las de su vecino..... …
carmen valdes,3 months ago,
Edgardo Rubilar,3 months ago,
Francisco Heresi,4 months ago,"Muy bueno, rico y barato

(Translated by Google)
Very good, rich and cheap"
Marcela Francisca Pino Castillo,4 months ago,
Felipe Ignacio Levín,4 months ago,"Súper rápida la atención

(Translated by Google)
Super fast attention"
jose miguel segovia,4 months ago,"Exquisito

(Translated by Google)
Exquisite"
Deivis Cañizales,4 months ago,
César Gómez,4 months ago,"Buen ambiente

(Translated by Google)
Good atmosphere"
Braulio Dinamarca,4 months ago,
YESSENIA ARAVENA,4 months ago,"Las pizzas son su especialidad, pero esta vez me decidí a probar una ensalada de entraña y rucula. Buena porcion. Relacion precio calidad 👍 …"
Liz Martinez,4 months ago,"Exquisita la comida y los tragos, vale la pena el tiempo de espera por una mesa

(Translated by Google) …"
Alex Cepeda,4 months ago,"Excelente servicio,

(Translated by Google)
Excellent service,"
nicole fuenzalida,4 months ago,
Mónica Albornoz,4 months ago,
Nicole Guzmán,4 months ago,
Giselle Contreras Villlarroel,4 months ago,"Muy ricas pizzas y los postres de ensueño!!

(Translated by Google) …"
Claudio Jaramillo Osben,4 months ago,"La cocina deja mucho que desear, el salmon del caviche completamente desabrido... la ensalada de quinoa/queso de cabra y camarones, parecía pasta de queso. Mala experiencia. …"
Venoject_official,4 months ago,
Aldo Gonzalez,4 months ago,"Excelente lugar, mucho espacio bien atendido, buenísima comida. Protocolo covid. Precios algo sobre el común. …"
Yessenia Rivera,4 months ago,
Luis M Perez C,4 months ago,"Las pizzas no son muy buenas pero el ambiente es grato. Es relajante

(Translated by Google) …"
Ignacio Ponce,4 months ago,
Angel Quilarque,4 months ago,
Polette Serey,4 months ago,"Rico, buena atención

(Translated by Google)
Rico, good attention"
Cecylia Hervel,4 months ago,
carolinaasepulvedac,4 months ago,"Excelente servicio, la pizza a punto. Grato lugar. Tragos bien preparados.

(Translated by Google) …"
BERNARDITA BARRIENTOS,4 months ago,
Betsy Hernandez,4 months ago,"Excelente lugar, buena atención y las pizzas exquisitas

(Translated by Google) …"
Pia Carrasco,4 months ago,
Julian D Triana,4 months ago,"Lugar agradable, variedad en pizzas, buena calidad en productos. precio promedio 10.000 con bebestible. Recomiendo la pizza con mariscos y la sangría. Aunque pedí entraña y me sirvieron el pedazo delgado y muy cocido. …"
Pedro Orrego,4 months ago,"Muy buena pizza, de gran calidad. Recomendable

(Translated by Google) …"
Vicente Godoy,4 months ago,"Más o menos la masa, la salsa demasiado dulce.

(Translated by Google) …"
Zoraida Villalobos,4 months ago,Los mejores mojitos que he probado. Ambiente tranquilo y buena atención. Personal muy amable. …
Chihon Ley,4 months ago,"Buen y atento servicio, la carta no es muy amplia pero ofrece suficiente variedad para todos los gustos. Precios razonables, acordes al sector. …"
Chu Long Yuan,4 months ago,
Claudia Martinez,4 months ago,
Daniela Carvajal Pizarro,4 months ago,
Carlos Oliver,4 months ago,
Tamara Sandoval,4 months ago,No puede entrar porque había mucha lista de espera y tampoco iba a esperar luego que mientras la anfitriona anotaba mi nombre sentía como  literalmente se jalaba toda su mocosidad nasal con ese recibimiento no dan ganas de entrar …
Nicolas Droguett,4 months ago,"Las pizzas son excelentes y los tragos también y los postres

(Translated by Google) …"
yoban alejandro maldonado rojas,4 months ago,
Ivan Romero,4 months ago,"Excelente lugar, buen ambiente y buena comida

(Translated by Google) …"
Claudia M. Corredor,4 months ago,Good
evelyn valenzuela,4 months ago,"Rico rico

(Translated by Google)
tasty tasty"
Crisgacitua Gacitua Cáceres,4 months ago,
Solange Pastrian,4 months ago,"Usualmente hay que esperar unos 20 a 30 minutos porque tiene mucho público pero sin duda vale la pena, las pizzas son muy ricas y con harta variedad de gustos, el servicio es rápido y recomiendo especialmente el postre chocolatisimo (más …"
Mari L.,4 months ago,"I loved it.

Las pizzas deliciosas, la pizza de 3 quesos muy buena. …"
Solange andrea Navarro Reyes,4 months ago,
Lewys Bracamonte,4 months ago,"Excelente restaurante

(Translated by Google)
Excellent restaurant"
Stephanie Orellana,4 months ago,"Las pizzas son demasiado ricas, venden alcohol, así que puedes acompañarla con una cerveza. El lugar es muy acogedor y guardan una prudente distancia entre mesas. Me encantó …"
Miguel Aldunate,4 months ago,"Bien ...para recomendarlos

(Translated by Google)
Well ... to recommend them"
Fernanda Salazar,4 months ago,"Buena atención, servicio rápido, lugar tranquilo, pizzas muy deliciosas!

(Translated by Google) …"
Rodrigo Olivares,4 months ago,
Victor Marambio,4 months ago,
K L,4 months ago,
Catalina Varas,4 months ago,
Joy Cross,4 months ago,"Rápida la preparación de pizzas y buena calidad

(Translated by Google)
Fast pizza preparation and good quality"
Carlos Ortega,4 months ago,"Excelente

(Translated by Google)
Excellent"
Enrique Rossi,4 months ago,"Grato ambiente, buen servicio y con adecuadas medidas sanitarias

(Translated by Google) …"
alejandro verdugo,4 months ago,"Bien ambiente , comodo ,higiénico buena atención los platos no se demoraron

(Translated by Google) …"
Maria Jose Alarcón Zambrano,4 months ago,
Cesar Pizarro,4 months ago,"Sangría 10 de 10

(Translated by Google)
Sangria 10 of 10"
Verónica Pinto,4 months ago,
keyla yohanna sierra mejias,4 months ago,
paulina fernandez,4 months ago,"Muy buen lugar, pizzas deliciosas, tragos de buen nivel y un ambiente súper agradable …"
Mansoor Saleemi,4 months ago,"Awesome.
Soon i will ve back there"
Maria Gabriela,4 months ago,
Acunha Eve,4 months ago,"Mucho ambulante cantando, espacioso y buenas pizzas

(Translated by Google) …"
Nelson Morales,4 months ago,
Felipe Javier Tapia Valdivia,4 months ago,
Carolina Osorio Hernández,4 months ago,
Rosamary Moreno,4 months ago,
Ailyn,4 months ago,
Patricio Apablaza B,4 months ago,
Norwin Lain Contreras Pernia,4 months ago,"Exquisito, vale la pena, buena comida y rico ambiente

(Translated by Google) …"
Mauricio Allel,4 months ago,"Muy ricas, masa delgada y rápida atención.

(Translated by Google) …"
Carlos Figueroa,4 months ago,"No es la gran cosa, creo que no es más que un bonito lugar de moda,  deberían actualizar su carta y sincerar lo que tienen y lo que no, la atencion ahi no más …"
Claudia Román,4 months ago,
Rafael Paradas,4 months ago,"El local es amplio. Hay variedad de pizzas gourmet, los cócteles podrían estar mejor elaborados, los postres son ricos …"
osvaldo loncomilla,4 months ago,"Exquisitas las Pizzas y memorables los cócteles!!!

(Translated by Google) …"
Estefania Garrido,4 months ago,
Ricardo Gonzalez,4 months ago,
Claudio Acuña,4 months ago,"Bastante bueno

(Translated by Google)
Pretty good"
Jose Adames,4 months ago,"Pizzas muy buenas, atención no tanto.

(Translated by Google)
Very good pizzas, attention not so much."
Ingrid Jensen,4 months ago,"Bien atendido..buen producto..caro !!

(Translated by Google)
Well attended..good product..expensive !!"
Edgard Alexander Whiteley Espinoza,4 months ago,
Orlando Acevedo,5 months ago,
Claudia Ossandon,5 months ago,
Javier Astudillo,5 months ago,
Jorge Rojas,5 months ago,"Ricas, pizzas buena atención

(Translated by Google)
Rich, good service pizzas"
victor hernan quiroga badilla,5 months ago,
Javier Contreras Ugarte,5 months ago,"Comida rica y ambiente seguro. Ideal para el almuerzo

(Translated by Google) …"
Daniel Alexander Tardone Ortega,5 months ago,
Claudia Carrillo,5 months ago,
Francisco Canto,5 months ago,"Buena masa, buenos ingredientes, buenos precios, atención prolija. Excelente opción👍🏼 …"
Juan Meneses,5 months ago,
Jean Michel Te Brake,5 months ago,"(Translated by Google) And! And! And!

(Original)
Si! Si! Si!"
Clemens Vogt,5 months ago,"Muy ricas ensaladas!!

(Translated by Google)
Very delicious salads!"
José Romero,5 months ago,"Excelentes pizzas y buen ambiente

(Translated by Google)
Excellent pizzas and good atmosphere"
MARCELA GODOY NAVARRO,5 months ago,"Maravillosa pizza
Doble …"
Camil a Meza Villarroel,5 months ago,
felipe alday,5 months ago,
Francisco Segovia,5 months ago,
Fernando Reyes,5 months ago,
Eduardo Herrera,5 months ago,
sebastian palominos stolzenbach,5 months ago,
Julio César Azpúrua Fernandez,5 months ago,"Delicioso restaurant de la nueva onda joven, pizzas por montones buena bebida y exquisitos postres... Provoca así tener un tío …"
"Angeles, Mundo Natural",5 months ago,
Raymond Álvarez,5 months ago,"Muy buena pizza a buen precio

(Translated by Google)
Very good pizza at a good price"
Samuel Quinelen,5 months ago,"Me gusta! Es agradable y la comida es rica las variedades de pizza

(Translated by Google) …"
Sebastián C,5 months ago,"Muy bueno, recomendado. La pizza de lomo saltado, exquisita.

(Translated by Google) …"
Mónica González,5 months ago,
Javier Moreno,5 months ago,
Neydi Rodriguez,5 months ago,"Muy fina la masa de la pizza

(Translated by Google)
Very thin pizza dough"
Francisco Encina Montoya,5 months ago,
Alexander Boche,5 months ago,"Piola.

(Translated by Google)
Piola."
Anmarlis Arias,5 months ago,"Muy lindo, riquísima la comida, buenos precios, atención excelenteee!! Ambiente espectacular!! …"
Macarena Ponce,5 months ago,
Alejandra Bruzual,5 months ago,"Excelente servicio!!!!

(Translated by Google)
Excellent service!!!!"
Cristian Felipe Zamora Alarcon,5 months ago,"Es un lugar acogedor y agradable para disfrutar,buena atención,sus pizzas y tragos, variedad hay ensaladas y para llevar a los niños, grandes y chicos 😜 …"
Emmanuel jose,5 months ago,"El tio es lo máximo

(Translated by Google)
The guy is the best"
Rosa María Campos,5 months ago,
Sede Diputado Lavin,5 months ago,"Comi ceviche de salmon, el salmon venia congelado, comida pesima

(Translated by Google) …"
Jefferson Monegro,5 months ago,"He ido unas 4 o 5 veces y no me canso, desde la atencion de sus garzones, micheladas y cocteles son buenisimos, la pizza TIO TOMATE es obligatoria, las demas pizzas brutales tambien, es un lugar para visitar si quieres una pizza exquisita y …"
Mariajosé Entrala,5 months ago,
Genesis Boada,5 months ago,
Francisca Alvarez,5 months ago,"Todo exquisito, la comida, refrescos y la atención excelente.  Totalmente recomendado! …"
Marcel Hinagas,5 months ago,"Buena pizza y buena atención

(Translated by Google)
Good pizza and good attention"
andrea moraga,5 months ago,
Manuel Pizarro,5 months ago,
claudio yáñez,5 months ago,"Comida fría y la atención muy lenta, sobre todo en los tragos.

(Translated by Google) …"
jerko olavarria,5 months ago,
Jeff Araujo Lopez,5 months ago,
Marcos Sepulveda,5 months ago,"Buenas pizzas

(Translated by Google)
Good pizzas"
Fernanda Rivera,5 months ago,
Luis Barrios,5 months ago,"Excelente lo recomiendo, muy buena la pizza 4 quesos.

(Translated by Google) …"
Feña SanMar,5 months ago,"Excelente lugar, muy buenas pizzas, muy recomendable,  lindo lugar,  decoración y atención un 10 …"
Camila Argandoña,5 months ago,
Claudia Carreras,5 months ago,
Viviana Sarraf Aragon,5 months ago,"Buena atención, amabilidad y rapidez, todo muy rico.

(Translated by Google) …"
Nicol Fernandez,5 months ago,"(Translated by Google) Super rich pizza

(Original)
Pizza super ricas"
Claudio Sigala,5 months ago,
Marion Valdenegro,5 months ago,"Muy rica y llenadora elegí la pizza Palta

(Translated by Google) …"
Leonardo Antonio Caceres Carvajal,5 months ago,Good restorant. 👍
Edimar Rausseo,5 months ago,
Gloria Hernandez Salgado,5 months ago,"Bien pero se puede mejorar la atención 😉

(Translated by Google)
Good but attention can be improved 😉"
Cristián Rojas,5 months ago,
Alonso Pacull,5 months ago,
Rodrigo Martinez,5 months ago,"Buen protocolo Covid, hay un sistema de limpiezs en la terraza, una especie de pulverizador. Excelentrs platos, pizza no quede conforme, pero ensaladas muy particulares y exquisitas, recomiendo el salmon envuelto en una masa.  Postres muy …"
carlos cabello olea,5 months ago,"Muy buen lugar. 100% recomendable

(Translated by Google)
Very good place 100% recommendable"
Maria Lugo,5 months ago,"Super cómodo y tranquilo. Excelente para pasar un rato Super agradableb

(Translated by Google) …"
Francisco Silva,5 months ago,
pablo ponce,5 months ago,Lugar amplio buena cerveza pero el ceviche dw salmón mejor que lo dejen de vender. …
daniela castro,5 months ago,
alexander osorio,6 months ago,"Mala atención y servicios, el piso del lugar está todo roto, y las pizzas no son para nada sabrosas 👎🏼 …"
Pablo Hurtado,6 months ago,"La mechada palta buenisima pizza

(Translated by Google)
La mechada avocado, great pizza"
Gonzalo de la Peña,6 months ago,"MUY BUENAS PIZZAS 🍕!
La cantidad de queso es buena, aunque podría venir un poco más, lo rico son los sabores exóticos que salen de lo tradicional, y la verdad es que son muy buenos, …"
Jhosinger Zambrano,6 months ago,"Excelente el lugar, la atención y el ambiente..  Nada negativo que decir.. Mantiene adecuadas medidas de higiene. …"
Antonia Sanchez Castro,6 months ago,"Súper simpáticos los que atendían y tomaban las medidas de limpieza , un ambiente tranquilo 10/10 …"
Tomás Abarzua,6 months ago,"Si bien no soy un fanatico de las pizzas, puedo decir que este lugar me encanta, por su ubicacion, ambiente. exquisitas masas, delgadas y crujientes. Mi favorita es la Pizza de Lomo Saltado ... IMPERDIBLE. amplia terraza, baños muy …"
Luis Alberto Ramírez Rojas,6 months ago,"Las mejores pizzas de Santiago

(Translated by Google)
The best pizzas in Santiago"
Mariano MS,6 months ago,"Ricas y sencillas pizzas a la piedra. El precio es un poco elevado, pero aceptable para locales donde se puede ir a compartir. …"
Giovanna Solano,6 months ago,"Nos atendieron súper bien, la masa a la piedra es exquisita, la atención rápida y amistosa, disfrutamos en Familia un grato encuentro ☺️‼️2 pizzas, 6 jugos, 2 aperol , 2 cervezas sin alcohol...cerca de los $55 mil pesos Valió cada peso! …"
vivian garces,6 months ago,"Esquisito lugar! buena atención y comida y bebestible ricos.

Con la pandemia se hace fila pero vale la espera. La terraza de fumadores …"
coni fuenzalida,6 months ago,"Siempre buena pizza, y en compañía de mis hijos .  Mucho mejor.

(Translated by Google) …"
Enzo Pérez,6 months ago,"Exquisita la masa y los ingredientes frescos!

(Translated by Google)
Exquisite dough and fresh ingredients!"
Edel Snow,6 months ago,
Monica Erlbaun Olmos,6 months ago,"Comida rica , abundante y precio adecuado.

(Translated by Google)
Rich, abundant food and adequate price."
Nachoboy,6 months ago,
Antonela De Armas,6 months ago,"Sí a todo. Volvería mil veces. Excelente servicio, super rápido para la cantidad de gente que había. El ambiente muy agradable, yo tuve la oportunidad de comer adentro. Se sentía una buena vibra en el lugar. Cumplían todas las …"
Claudio Mejias,6 months ago,"Excelente atención 👏,  exquisito todo 👍

(Translated by Google) …"
Francisco Núñez Méndez,6 months ago,
Leonardo González Herrada,6 months ago,
Macarena Montecino,6 months ago,
Jorge Dominguez,6 months ago,"El sitio es bueno pero no excelente

(Translated by Google)
The site is good but not great"
Rodrigo Vasquez,6 months ago,
marcelo gonzalez,6 months ago,"Bueno pero no para repetir.

(Translated by Google)
Good but not to repeat."
Ángeles Chacón Larraín,6 months ago,
Dayangela Ortega,6 months ago,"Riquísimo todo

(Translated by Google)
Riquísimo all"
señor joc,6 months ago,"Buen lugar, muy piola para comer y beber algo

(Translated by Google) …"
Jorge Rubio,6 months ago,"Buenisimo, grato ambiente y muy buenas pizzas

(Translated by Google) …"
Nicol Neira,6 months ago,
Gonzalo Varillas,6 months ago,"Una delicia

(Translated by Google)
A delight"
Francisco Movilla,6 months ago,"Una de las mejores pizzerias en Santiago, muy concurrida,  así que hay que armarse de paciencia para conseguir una mesa, y mas en estos tiempos de pandemia, por el distanciamiento social. …"
maricarmen iñiguez,6 months ago,"Excelente atención, platos muy bien preparados y servidos, espacio abierto y fresco …"
Margarita Rodriguez,6 months ago,
Jalejandro Rojas,6 months ago,"Excelente servicio y muy buenas pizza

(Translated by Google)
Excellent service and very good pizza"
Haydee Oxford,6 months ago,
Benjamin Corvalan,6 months ago,"Bonito , buen patio terraza, las pizzas super wuenas en tamaño, ingredientes, tragos y bebestibles super ricos!! Probamos unos boconccinis apanados increibles !!! Recomiendo 100 % …"
Jorge Andrès Urrutia,6 months ago,Excelente lugar. Buena pizza. Porción adecuada ( recomiendo tres quesos y la de  carne mechada con palta) precios razonables. Buenos tragos y postres deliciosos. …
Karem PG,6 months ago,"Muy rico todo, buena atención

(Translated by Google)
Very rich, good service"
Patricio Cornejo,6 months ago,
Horacio Thayer,6 months ago,
nelly zamudio,6 months ago,
johanna blasi,6 months ago,"Excelente servicio, protocolo , buena comida y tragos

(Translated by Google) …"
Katherina Sizoff,6 months ago,"Buenísimo el lugar, buena atención, todo limpio y las pizzas increíbles. Tanto adentro como afuera el espacio es abierto, se puede fumar si lo deseas.
Opino que en las pizzas la relación precio calidad es ideal. Lista para ir de …"
Eduardo Rubilar,6 months ago,
Jimena Vásquez,6 months ago,
roger perez,6 months ago,
Ligia Cortes,6 months ago,"Se ve muy bueno para compartir con amigos y familia

(Translated by Google) …"
Guillermo Campos,6 months ago,"Excelente, atención y sabor.lindo lugar

(Translated by Google) …"
Claudia Labrin,6 months ago,"Un lugar muy agradable

(Translated by Google)
A very nice place"
Liliana Romo Minay,6 months ago,"Exquisito!

(Translated by Google)
Exquisite!"
Alvaro Guerra,6 months ago,
Camila Manzur Ormeño,6 months ago,
Juan Andrés Gallardo,6 months ago,"Extraordinario!! 👏👏👏

(Translated by Google)
Extraordinary!! 👏👏👏"
Álvaro Nalli,6 months ago,"Muy buena atención y las pizzas de excelente calidad

(Translated by Google) …"
javier gallego,6 months ago,
Rodolfo Plass,6 months ago,"Buen lugar de pizzas y tragos a buen precio. Local nuevo y muy bien atendidos.
Las pizzas ricas y de gran variedad.
Volvería? Si, de todas maneras …"
Mario Velasquez,6 months ago,"Lo mejor de stgo

(Translated by Google)
The best of stgo"
loreto melgarejo,6 months ago,
eglee cegarra,6 months ago,El día de ayer fui a compartir con unos amigos por un cumpleaños la atención fue malisima del personal que nos atendió la señorita que primero nos atendió le faltó fue levantarnos de la mesa nos tocó decirle a otro Garzón que nos atendiera …
Carlos D (Cadu),6 months ago,
Oda Luque Foto,6 months ago,"Rica comida y excelente atención

(Translated by Google)
Rich food and excellent service"
Jorge Perez,6 months ago,"Exquisitas las pizzas!!!!!

(Translated by Google)
Exquisite pizzas !!!!!"
Roxana Lanz,6 months ago,
Jeff Ciceron,6 months ago,
Rodrigo Cruz,7 months ago,
victor beltra,7 months ago,"Muy buenas pizzas, importante que solo se admiten 6 personas máximo por grupo, en caso sean más personas, tienen que separarse en 2 grupos …"
Guilherme Avila,7 months ago,
swamy atom,7 months ago,
Fernando Salas,7 months ago,"Muy buen lugar para compartir en familia.

(Translated by Google)
Very good place to share with the family."
Pablo Vial,7 months ago,
francisca olivares ortega,7 months ago,
Manuel Calderon,7 months ago,
Oscar Ibarra,7 months ago,"Buen lugar, muy agradable para pasar un rato y tener una buena comida

(Translated by Google) …"
Rodrigo Martinez,7 months ago,
katherine gonzalez gallegos,7 months ago,"Muy buen lugar, pizzas exquisitas!!!

(Translated by Google)
Very good place, exquisite pizzas !!!"
Andres Aviles,7 months ago,"Bueno pida ensaladas es muy grande  el plato y pizza.

(Translated by Google) …"
Guillermo Avila,7 months ago,"Muy buen lugar. Buen ambiente, platos muy buenos y abundantes. Precios aterrizados …"
Melany Morales Tobar,7 months ago,
Omar Gonzalez,7 months ago,"Todo muy rico, adicional los tragos súper económicos, buen lugar para picotear y tomarse unos tragos …"
javiera alexandra tobar mellibovsky,7 months ago,"Muy buena pizza 4 quesos, masa delgadita, no llenadora.. De entrada pollitos barbacue muy ricosss …"
Alberto Kuscic,7 months ago,"Muy buena las pizzas y todo lo demás

(Translated by Google)
Very good pizzas and everything else"
Claudia Rosales,7 months ago,
Eme,7 months ago,"Buena pizza pero muy malos tragos el pisco sour es muy malo es un lugar regular

(Translated by Google) …"
Jana Dmitrieva,7 months ago,"Muy buena calidad y excelente atención!

(Translated by Google)
Very good quality and excellent service!"
Evelio R Valles,7 months ago,
angelo carrillo,7 months ago,
José Manuel Rivera,7 months ago,
gaby Martínez,7 months ago,"Rico!!

(Translated by Google)
Rich!!"
kristopher Rainiere,7 months ago,
María Tejada Jiménez,7 months ago,
Pablo Anuch,7 months ago,"Mala masa de pizza. Buenos postres.

(Translated by Google)
Bad pizza dough. Good desserts."
Angel Ysea Reyes,7 months ago,"Muy buen ambiente

(Translated by Google)
Very good atmosphere"
