Usuario,Periodo,Comentario
Yenny Perez,8 months ago,"Adoro este restaurante, recomiendo la lazaña

(Translated by Google) …"
COCINA FACIL CON RASPY,8 months ago,"Muy buen delivery y buenos precios

(Translated by Google)
Very good delivery and good prices"
FRANCISCO MEZA,8 months ago,
Michell Escalona,8 months ago,"Atención rapida y la pizza muy rica

(Translated by Google)
Quick service and very tasty pizza"
texman castro,9 months ago,
Cindhy Ochoa,9 months ago,"Las pizzas son buenas y la variedad es la correcta. Pedi una lasagna vegetariana y eran las láminas de pasta con rodajas de tomate, aparte de estaba un poco frío en el centro. De resto todo ok las veces que he pedido allí …"
Julio Correa,9 months ago,"Muy buenas pizza y rápida atención

(Translated by Google)
Very good pizza and quick service"
Walter E. Ifill R.,9 months ago,"La Pizza la hacen sobre pan árabe o algo así. Es extremadamente delgada y de sabor ahí no más. Los palitos de ajo es pan viejo. Había oído buenas opiniones, pero en definitiva no me gustó. …"
Katherin Pinto,10 months ago,"bueno, las pizzas no son muy buenas para el precio

(Translated by Google) …"
Javier Rodriguez,10 months ago,
Fernando Mora Cortés,10 months ago,
jose daniel cegarra figueroa,10 months ago,"Excelentes pizza ..

(Translated by Google)
Excellent pizza .."
Sofía Maldonado A,10 months ago,"Pedi por rappi y me encantaron!!! masa piedra exquisita e ingredientes frescos.

(Translated by Google) …"
daniel sanchez,a year ago,
omar lopez,a year ago,"Le falta mas relleno

(Translated by Google)
It lacks more padding"
Katty Pinheiro,a year ago,
Jm1984 Z,a year ago,
Carlos Martos,a year ago,
Carolina Hernandez,a year ago,"Sus pizzas deliciosas a pesar de el tiempo su calidad no cambia :)

(Translated by Google) …"
Pavel Figueroa,a year ago,"Malas como el nombre jaja

(Translated by Google)
Bad as the name haha"
Jacqueline Martinez,a year ago,"será...Milano pizza...si es así exquisita

(Translated by Google) …"
Angel Garcia,a year ago,"No he comido solo pase y el olor hizo que llegará a mi casa hambriento

(Translated by Google) …"
VrOniK RoJaS,a year ago,"Exquisiteces hecho pizzas

(Translated by Google)
Exquisiteces made pizzas"
Carlos Musician,a year ago,
Gineth Callejas,a year ago,"Me gustaron porque son a la piedra el precio estaba bien

(Translated by Google) …"
kimohura calderon,a year ago,"Rápido el servicio y de buen sabor la salsa de pizza

(Translated by Google)
Fast service and good taste pizza sauce"
Cesar Coito,a year ago,"Muy ricas

(Translated by Google)
Very rich"
Mao Diaz,a year ago,"deliciosos productos

(Translated by Google)
delicious products"
Gaby Leiva,a year ago,"Ricas, buena atención, rápido y de nuevo ricas!

(Translated by Google) …"
Roxanne Madrid,a year ago,"Exquisitas

(Translated by Google)
Exquisite"
Mar Bustos,a year ago,"Este local es sólo para llevar la comida a domicilio. Pedí mis pizzas y las esperé en el auto. No recomiendo esperarlas en el local porque era un verdadero horno, super caluroso. Se demoraron justo los 20 min que me dijo el vendedor. Las …"
elberth camaño,a year ago,
Joaquin Morales Molina,a year ago,
Anakarina Medina,a year ago,
Karolina Ocaranza,a year ago,
Katherin Pijoan,a year ago,
Fanny Ramirez,a year ago,"Espectacular, la atencion estupenda, bello lugar, deliciosas pizzas.

(Translated by Google) …"
Stephanny Reyes,a year ago,
Bruno fernandez,a year ago,
Luis,a year ago,"Buenas pizzas, variedad en sabores a buen precio

(Translated by Google) …"
Vladimir Mansilla Rondón,a year ago,
LILIANA TARAZONA,a year ago,
jose bustamante,a year ago,
Jean Ramirez,a year ago,"Excelente y muy buena atención

(Translated by Google)
Excellent and very good service"
